date,open,high,low,close,volume,Name,SMA,WMA,Momentum,RSI,WilliamK,MACD,CCI,acc_dist,AD-:21,Arronup,AroonDown,AroonOscillator,ATR,Pivot_Point,Resistance_1,Resistance_2,Resistance_3,Support_1,Support_2,Support_3,SO%k,On_Balance_Volume,Price_Volume_Trend,y
3/28/2013,64.2599,64.5455,63.0885,63.2371,110698007,AAPL,64.85773,4.373956846,0.1428,411.5042549,-60.90074046,0.910044242,15.71936809,-88117740.92,-14929463.45,88,28,60,1.4943,63.6237,64.1589,65.0807,65.6159,62.7019,62.1667,61.2449,0.101990391,-513689512,152475650.7,-1
4/1/2013,63.1285,63.3854,61.1057,61.2728,97294421,AAPL,64.64702,4.208570876,3.83,-433.8125,-91.58621552,1.260181301,-42.97256767,-83031230.45,-18780984.29,84,24,60,2.2797,61.9213,62.7369,64.201,65.0166,60.4572,59.6416,58.1775,0.073299118,-610983933,149453446.5,-1
4/2/2013,61.0857,62.5914,60.9142,61.3988,132350022,AAPL,64.27662,4.046805946,3.5283,2918.191161,-90.06106846,1.600330958,-56.72614972,-55869196.03,-20855493.18,80,20,60,1.6772,61.6348,62.3554,63.312,64.0326,60.6782,59.9576,59.001,0.288933938,-478633911,149725608,1
4/3/2013,61.6242,62.4685,61.4728,61.7128,90719482,AAPL,63.95519,3.899273985,2.87,1152.461538,-85.13163472,1.673483665,-49.41607193,-46986077,-22301934.55,76,16,60,1.0697,61.8847,62.2966,62.8804,63.2923,61.3009,60.889,60.3052,0.241036457,-387914429,150189557.1,1
4/4/2013,61.9657,62.1428,60.7499,61.1028,89589332,AAPL,63.60719,3.75910267,3.5728,-790.7307073,-94.47358943,1.543815272,-71.3343136,-44193287.4,-23501837.27,72,12,60,1.3929,61.33183333,61.91376667,62.72473333,63.30666667,60.52086667,59.93893333,59.12796667,0.253356307,-477503761,149304011.6,-1
4/5/2013,60.6428,60.7071,59.9542,60.4571,95743088,AAPL,63.18534,3.623326683,5.53,-130.2073354,-92.99718718,1.363996692,-102.7585484,32160216.44,-20479187.79,68,8,60,1.1486,60.3728,60.7914,61.1257,61.5443,60.0385,59.6199,59.2856,0.667950591,-573246849,148292252.6,-1
4/8/2013,60.6928,61.0714,60.3557,60.8871,75169647,AAPL,62.67534,3.492656349,5.3385,-59.60575942,-87.00949676,1.193400196,-78.83161265,36455755.87,-17414535.06,64,4,60,0.7157,60.7714,61.1871,61.4871,61.9028,60.4714,60.0557,59.7557,0.74248987,-498077202,148826895.3,1
4/9/2013,60.9085,61.2142,60.3928,60.9971,76615504,AAPL,62.15249,3.369600982,4.8794,-66.73791349,-85.477762,0.893871515,-72.18424468,36115806.12,-14557067.6,60,0,60,0.8214,60.86803333,61.34326667,61.68943333,62.16466667,60.52186667,60.04663333,59.70046667,0.735695155,-421461698,148965310.6,1
4/10/2013,61.1571,62.4371,60.8585,62.2414,93895844,AAPL,61.78898,3.262834306,2.3414,-165.161869,-68.1510569,0.317723377,-40.96518662,70615194.47,-10046295.27,56,88,-32,1.5786,61.84566667,62.83283333,63.42426667,64.41143333,61.25423333,60.26706667,59.67563333,0.876029393,-327565854,150880722.9,1
4/11/2013,61.9599,62.5699,61.5999,62.0471,82073628,AAPL,61.53541,3.166658061,1.19,-143.5914019,-70.85665748,-0.244075357,-35.7562566,-6396666.265,-9854448.813,52,84,-32,0.97,62.0723,62.5447,63.0423,63.5147,61.5747,61.1023,60.6047,0.461030928,-409639482,150624512.3,-1
